index,Bene_Geo_Lvl,Bene_Geo_Desc,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_Cond,Prvlnc,Tot_Mdcr_Stdzd_Pymt_PC,Tot_Mdcr_Pymt_PC,Hosp_Readmsn_Rate,ER_Visits_Per_1000_Benes
9,State,Alabama,1.0,All,Sex,Female,Alcohol Abuse,0.0092,,,,
12,State,Alabama,1.0,All,Sex,Male,Alcohol Abuse,0.0306,,,,
22,State,Alabama,1.0,All,Sex,Female,Alzheimer's Disease/Dementia,0.1314,,,,
25,State,Alabama,1.0,All,Sex,Male,Alzheimer's Disease/Dementia,0.0928,,,,
35,State,Alabama,1.0,All,Sex,Female,Arthritis,0.451,,,,
38,State,Alabama,1.0,All,Sex,Male,Arthritis,0.3153,,,,
48,State,Alabama,1.0,All,Sex,Female,Asthma,0.0665,,,,
51,State,Alabama,1.0,All,Sex,Male,Asthma,0.0298,,,,
61,State,Alabama,1.0,All,Sex,Female,Atrial Fibrillation,0.0739,,,,
64,State,Alabama,1.0,All,Sex,Male,Atrial Fibrillation,0.0857,,,,
74,State,Alabama,1.0,All,Sex,Female,Autism Spectrum Disorders,0.0008,,,,
77,State,Alabama,1.0,All,Sex,Male,Autism Spectrum Disorders,0.0028,,,,
87,State,Alabama,1.0,All,Sex,Female,COPD,0.1355,,,,
90,State,Alabama,1.0,All,Sex,Male,COPD,0.1399,,,,
100,State,Alabama,1.0,All,Sex,Female,Cancer,0.0724,,,,
103,State,Alabama,1.0,All,Sex,Male,Cancer,0.0907,,,,
113,State,Alabama,1.0,All,Sex,Female,Chronic Kidney Disease,0.2637,,,,
116,State,Alabama,1.0,All,Sex,Male,Chronic Kidney Disease,0.2865,,,,
126,State,Alabama,1.0,All,Sex,Female,Depression,0.2321,,,,
129,State,Alabama,1.0,All,Sex,Male,Depression,0.125,,,,
139,State,Alabama,1.0,All,Sex,Female,Diabetes,0.2915,,,,
142,State,Alabama,1.0,All,Sex,Male,Diabetes,0.3142,,,,
152,State,Alabama,1.0,All,Sex,Female,Drug/Substance Abuse,0.0408,,,,
155,State,Alabama,1.0,All,Sex,Male,Drug/Substance Abuse,0.0456,,,,
165,State,Alabama,1.0,All,Sex,Female,HIV/AIDS,0.0018,,,,
168,State,Alabama,1.0,All,Sex,Male,HIV/AIDS,0.005,,,,
178,State,Alabama,1.0,All,Sex,Female,Heart Failure,0.1587,,,,
181,State,Alabama,1.0,All,Sex,Male,Heart Failure,0.1635,,,,
191,State,Alabama,1.0,All,Sex,Female,Hepatitis (Chronic Viral B & C),0.0044,,,,
194,State,Alabama,1.0,All,Sex,Male,Hepatitis (Chronic Viral B & C),0.008,,,,
204,State,Alabama,1.0,All,Sex,Female,Hyperlipidemia,0.5209,,,,
207,State,Alabama,1.0,All,Sex,Male,Hyperlipidemia,0.5025,,,,
217,State,Alabama,1.0,All,Sex,Female,Hypertension,0.6756,,,,
220,State,Alabama,1.0,All,Sex,Male,Hypertension,0.6305,,,,
230,State,Alabama,1.0,All,Sex,Female,Ischemic Heart Disease,0.2499,,,,
233,State,Alabama,1.0,All,Sex,Male,Ischemic Heart Disease,0.3558,,,,
243,State,Alabama,1.0,All,Sex,Female,Osteoporosis,0.1024,,,,
246,State,Alabama,1.0,All,Sex,Male,Osteoporosis,0.0111,,,,
256,State,Alabama,1.0,All,Sex,Female,Schizophrenia and Other Psychotic Disorders,0.0308,,,,
259,State,Alabama,1.0,All,Sex,Male,Schizophrenia and Other Psychotic Disorders,0.0321,,,,
269,State,Alabama,1.0,All,Sex,Female,Stroke,0.0423,,,,
272,State,Alabama,1.0,All,Sex,Male,Stroke,0.0418,,,,
282,State,Alaska,2.0,All,Sex,Female,Alcohol Abuse,0.0204,,,,
285,State,Alaska,2.0,All,Sex,Male,Alcohol Abuse,0.0411,,,,
295,State,Alaska,2.0,All,Sex,Female,Alzheimer's Disease/Dementia,0.0948,,,,
298,State,Alaska,2.0,All,Sex,Male,Alzheimer's Disease/Dementia,0.067,,,,
308,State,Alaska,2.0,All,Sex,Female,Arthritis,0.2972,,,,
311,State,Alaska,2.0,All,Sex,Male,Arthritis,0.2038,,,,
321,State,Alaska,2.0,All,Sex,Female,Asthma,0.0483,,,,
324,State,Alaska,2.0,All,Sex,Male,Asthma,0.0206,,,,
334,State,Alaska,2.0,All,Sex,Female,Atrial Fibrillation,0.053,,,,
337,State,Alaska,2.0,All,Sex,Male,Atrial Fibrillation,0.0688,,,,
347,State,Alaska,2.0,All,Sex,Female,Autism Spectrum Disorders,0.0016,,,,
350,State,Alaska,2.0,All,Sex,Male,Autism Spectrum Disorders,0.0036,,,,
360,State,Alaska,2.0,All,Sex,Female,COPD,0.0865,,,,
363,State,Alaska,2.0,All,Sex,Male,COPD,0.0779,,,,
373,State,Alaska,2.0,All,Sex,Female,Cancer,0.0623,,,,
376,State,Alaska,2.0,All,Sex,Male,Cancer,0.065,,,,
386,State,Alaska,2.0,All,Sex,Female,Chronic Kidney Disease,0.1727,,,,
389,State,Alaska,2.0,All,Sex,Male,Chronic Kidney Disease,0.18,,,,
399,State,Alaska,2.0,All,Sex,Female,Depression,0.1574,,,,
402,State,Alaska,2.0,All,Sex,Male,Depression,0.0765,,,,
412,State,Alaska,2.0,All,Sex,Female,Diabetes,0.202,,,,
415,State,Alaska,2.0,All,Sex,Male,Diabetes,0.2076,,,,
425,State,Alaska,2.0,All,Sex,Female,Drug/Substance Abuse,0.0359,,,,
428,State,Alaska,2.0,All,Sex,Male,Drug/Substance Abuse,0.038,,,,
438,State,Alaska,2.0,All,Sex,Female,HIV/AIDS,0.0007,,,,
441,State,Alaska,2.0,All,Sex,Male,HIV/AIDS,0.0024,,,,
451,State,Alaska,2.0,All,Sex,Female,Heart Failure,0.0906,,,,
454,State,Alaska,2.0,All,Sex,Male,Heart Failure,0.1022,,,,
464,State,Alaska,2.0,All,Sex,Female,Hepatitis (Chronic Viral B & C),0.0088,,,,
467,State,Alaska,2.0,All,Sex,Male,Hepatitis (Chronic Viral B & C),0.014,,,,
477,State,Alaska,2.0,All,Sex,Female,Hyperlipidemia,0.2597,,,,
480,State,Alaska,2.0,All,Sex,Male,Hyperlipidemia,0.2577,,,,
490,State,Alaska,2.0,All,Sex,Female,Hypertension,0.4241,,,,
493,State,Alaska,2.0,All,Sex,Male,Hypertension,0.3957,,,,
503,State,Alaska,2.0,All,Sex,Female,Ischemic Heart Disease,0.1398,,,,
506,State,Alaska,2.0,All,Sex,Male,Ischemic Heart Disease,0.2255,,,,
516,State,Alaska,2.0,All,Sex,Female,Osteoporosis,0.0703,,,,
519,State,Alaska,2.0,All,Sex,Male,Osteoporosis,0.0083,,,,
529,State,Alaska,2.0,All,Sex,Female,Schizophrenia and Other Psychotic Disorders,0.0193,,,,
532,State,Alaska,2.0,All,Sex,Male,Schizophrenia and Other Psychotic Disorders,0.0234,,,,
542,State,Alaska,2.0,All,Sex,Female,Stroke,0.025,,,,
545,State,Alaska,2.0,All,Sex,Male,Stroke,0.0233,,,,
555,State,Arizona,4.0,All,Sex,Female,Alcohol Abuse,0.0114,,,,
558,State,Arizona,4.0,All,Sex,Male,Alcohol Abuse,0.0274,,,,
568,State,Arizona,4.0,All,Sex,Female,Alzheimer's Disease/Dementia,0.0863,,,,
571,State,Arizona,4.0,All,Sex,Male,Alzheimer's Disease/Dementia,0.0717,,,,
581,State,Arizona,4.0,All,Sex,Female,Arthritis,0.3832,,,,
584,State,Arizona,4.0,All,Sex,Male,Arthritis,0.2844,,,,
594,State,Arizona,4.0,All,Sex,Female,Asthma,0.0691,,,,
597,State,Arizona,4.0,All,Sex,Male,Asthma,0.0365,,,,
